termo,tfidf_sum
scout,5.955924491433942
the brainstealer,5.9447469350635815
brainstealer,5.9447469350635815
guard,5.931377210694562
vanguard,5.930768826272678
priestess,5.917883843388387
corym,5.913440963718508
maiden,5.912887709562102
shaman,5.874238286011202
the cult,5.87022738615556
count,5.865430526197282
kit,5.847994368584142
years balloon,5.838261344450817
years,5.838261344450817
25 years,5.838261344450817
mummy,5.836813568672174
staff,5.822760192846012
durante,5.791195502609711
nota musical,5.783766346722828
figurine 50,5.78148999518873
orange,5.781081190482501
dworc,5.764374624557364
elder,5.761511621112005
piecer of,5.748419020772537
drazzak,5.730386484975458
28 00,5.726138382175467
wolf,5.665239076227829
umbral,5.6615603691441025
mirror,5.649436325096429
600,5.644318746522806
45 00,5.6344844810360435
22 00,5.632959158878914
sir,5.611680002646076
wooden,5.565978431617252
nightmare beast,5.563264343346593
headr,5.526660496194397
carnivor,5.52125407619118
wand,5.517159385423262
36,5.507944225200541
banished,5.490734416597325
izcandar the,5.490734416597325
the banished,5.490734416597325
honour,5.48711454440317
reager usar,5.485516787488299
quaro,5.475384287762265
durante quest,5.4706319367911
usar durante,5.4706319367911
obter usar,5.4706319367911
chave obter,5.4706319367911
criatura demoníaco,5.458782335109927
demoníaco,5.458782335109927
goanna,5.456597828665914
23,5.451608464804745
enchanted,5.444443721884506
bonelord,5.422464409345538
hellgorak,5.4070904288336825
hand,5.405179687303513
80 00,5.385788475232354
spider,5.384768012951374
fibula,5.378798273098249
41,5.346701054963908
silver cup,5.31903396839017
spawn of,5.309191034337935
timira the,5.2875369416051194
timira,5.2875369416051194
the many-headed,5.2875369416051194
many-headed,5.2875369416051194
bone,5.235307447076816
49,5.231627386633705
14 00,5.216957541437017
squid,5.215633348637859
bane,5.212160718630566
64,5.211928579665849
druids earth,5.200737636912371
master,5.192710022049962
head,5.191510582470797
candy,5.18936237355047
bronze cup,5.182994647345063
enraged,5.171493839204732
the nightmare,5.137183249664188
musical usar,5.110320167085201
usar desmontar,5.10770774963366
desmontar,5.10770774963366
00 18,5.098958087223544
mad,5.097465495640186
war,5.086193425456676
paladim physical,5.0853565148778
72,5.0849855454964565
core,5.074953002521155
guzzlemaw,5.039957208698884
black knight,5.027968078410042
40 00,4.99692142451088
220,4.995784182428442
ratmiral,4.9923823007706964
prison,4.978091447919962
43,4.969699140346836
gem,4.962896331790246
note,4.946655934471152
alptramun,4.937874803554697
of morgathla,4.9296939535903315
ancient spawn,4.9296939535903315
morgathla,4.9296939535903315
gold,4.9230334178112445
cursed,4.921954627311879
lion knight,4.9191398718838935
ancient lion,4.9191398718838935
maxxenius,4.904367371979554
goblin,4.888355576854699
provavelmente chave,4.888010230437111
provavelmente,4.888010230437111
00 magic,4.864258620453726
cloth,4.856169292700316
elven,4.843505923631436
68,4.839831186790235
madareth,4.838525179620261
66,4.815470623719404
rune druids,4.811853773581826
quiver,4.811820397190454
sea,4.809650707792898
95,4.804718601153146
malofur,4.794886062530132
prince,4.790399216645438
fighting magic,4.777546940452353
picture,4.7483646059937925
65 00,4.7392485764735115
spirit,4.735263751326087
vermelho,4.729166189997241
luz vermelho,4.729166189997241
prince drazzak,4.721065943002032
scale,4.718628759664789
weakened,4.713734354195619
god,4.710856599929326
bubble,4.70678129672151
magma bubble,4.70678129672151
queen,4.7040456403298005
guildhall,4.685506132719011
chave guildhall,4.685506132719011
midnight asura,4.670725375401272
figuriner,4.663751900775951
plagueroot,4.659796472846557
imbuement powerful,4.659214059003265
wild,4.6588510662752665
55 00,4.654243061993786
68 00,4.653104421309348
priest,4.6419530627552055
bug,4.619767615887916
eye,4.615700438714342
doma,4.614430268518604
doma criatura,4.614430268518604
orclop,4.610503568541451
50 reager,4.605702905295321
rocketr 00,4.591699725533622
fireworks rocketr,4.591699725533622
rocketr,4.591699725533622
imbuement intricate,4.587885496932859
bakragore,4.566466771382654
and paladim,4.557441024845605
knights and,4.557441024845605
summer,4.551767131014104
in,4.54000372603907
bowl,4.538902905887699
paler worm,4.519959751837716
paler,4.519959751837716
the paler,4.519959751837716
empty,4.501593083883176
diamond,4.49561731078758
birthday,4.480953792751791
amazon,4.475730919471173
from,4.473913457518887
nagar,4.460437383069758
medal,4.458836499290027
doll 50,4.4548786734679595
pillow 15,4.448716446305305
demoníaco bosse,4.4357621794429045
bosse,4.4357621794429045
aparecer nota,4.4354146430892
aparecer,4.4354146430892
firir,4.43494660332562
blade,4.433105648279963
werewolf,4.430974533552929
27 00,4.429454196755435
47,4.427102506278982
behemoth,4.426834148434993
42 00,4.416968182787421
mangrinder,4.410061539407494
malofur mangrinder,4.410061539407494
burning,4.393125819416306
mushroom,4.371596549264587
desconhecer provavelmente,4.359855122057125
fur,4.357182815909032
amber,4.3570991909135985
teddy,4.350408618907882
fighting 44,4.344641770720319
sanguine,4.340403577070702
alvo,4.338806304245736
paper,4.326048148487248
essence,4.322534259509765
tiber,4.321883023463308
21 00,4.320243294683264
duke,4.314946078780118
aumentar,4.293445600338946
powder,4.292802008312525
pooka,4.291011372384038
obsidian,4.277978590807127
145,4.27698883525722
ushuriel,4.276467044419093
shield of,4.270707504707475
bear,4.26596658414939
proteção,4.259385235276565
monster,4.258522019857232
crystal 50,4.2535699683605666
crazed summer,4.25326253157965
scarab,4.234854002918371
girtablilu,4.230244201454983
wyrm,4.220155896645521
quara,4.196769121914822
claw,4.194392438744552
azul,4.185358186668826
sun,4.182169213891536
sorcerers,4.176775449517297
charm,4.176510782253946
vexclaw,4.173801094102069
dragon lord,4.172599096807664
hydra,4.155129582946403
fear,4.147469668562333
annihilon,4.140028179309426
last,4.136182587348191
gnome,4.134556045097064
moon,4.1326405233585435
wall,4.126979929977601
31 00,4.126705693583288
hat 50,4.1228703869117265
145 00,4.118526628842101
cave,4.10502557788875
dream,4.099002765651178
100 knights,4.09809674562387
of corruption,4.0947460625573875
corruption,4.0947460625573875
lost soul,4.09241107029507
golem,4.086379524230646
norcferatu,4.0765105179291545
young,4.074980580929415
latrivan,4.065355416537418
70 00,4.062346143135373
present 25,4.061092518664781
world,4.058001580062757
bandit,4.053286361886186
cobrar,4.048515361681703
30 00,4.046743029885213
carnisylvan,4.036660742673348
ghost,4.015697558209607
dread maiden,4.013570320402898
the dread,4.013570320402898
soul of,4.008294606890536
of dragonking,4.008294606890536
dragonking,4.008294606890536
zyrtarch,4.008294606890536
dragonking zyrtarch,4.008294606890536
essence of,4.0060890662040896
usurper,4.002114780562965
crawler,3.9922242740323086
of cloth,3.99115366157362
rober,3.980162631320569
fungus,3.9796198704806844
giant,3.974490044626731
brain,3.974412592230228
ink,3.974340313215188
presents,3.973660592425914
presents 25,3.973660592425914
feather,3.9618170490215094
ahau,3.9563259988566553
warlock,3.953601131543314
fireworks powder,3.937175857024819
provê,3.9362991390547744
provê luz,3.9362991390547744
sugar,3.9345790006269787
shieldr,3.9262070915202605
zelo,3.919911750525693
king zelo,3.919911750525693
goldr,3.919407781115952
animated,3.8984588014784487
chakoya,3.8892385021865525
artefact,3.877354444226408
sumir,3.8755547536457926
52 00,3.8707623973761036
treasurar,3.865389102428054
tortoise,3.8605229856676524
world devourer,3.8417154161520735
earth fire,3.835502060125531
gnomishr,3.820558966147792
orc cult,3.815635489599624
horadron,3.8155825586151573
stalker,3.811604589423435
traditional,3.8099139792701795
flower pot,3.803846401923443
pot,3.803846401923443
29 00,3.7996084201353417
240,3.791027207099563
star,3.7860795604306094
the source,3.7821918256539577
source,3.7821918256539577
source of,3.7821918256539577
bride,3.7749018414669324
silencer,3.7667665324376762
the count,3.766263345693005
120 00,3.7645791704519302
trophy of,3.758952522417062
scarlett etzel,3.729401214323151
etzel,3.729401214323151
scarlett,3.729401214323151
fighting club,3.7278037962461004
60 00,3.7253637174671694
amuletr,3.7055861729703725
water,3.6996227181724644
terofar,3.698496360536156
00 timira,3.6860141874790995
rearguard,3.6809600878815734
ring of,3.680676415421879
jester,3.6749745235563296
salamander,3.6664607143294528
level ice,3.6561992379606263
twisted,3.651499963884014
minotaur cult,3.6452099339507047
beggar,3.642922279418017
wereboar,3.639360698253228
00 arbaziloth,3.6391945430951154
obsidian zaoan,3.6374244809932614
burster,3.637178529607832
blackwhiskers,3.630104617843341
ratmiral blackwhiskers,3.630104617843341
líquido,3.6248352861069773
sphinx,3.6217340949014143
count of,3.6207513581108866
the core,3.6207513581108866
270 knights,3.617340532766838
39,3.6109534790115436
frostr,3.6101149692078454
the enraged,3.608577773747687
thorn,3.608577773747687
enraged thorn,3.608577773747687
thorn knight,3.608577773747687
fury,3.6022988134352927
golgordan,3.601442190637772
spellbook,3.5984919950790615
goblet,3.597810121105279
hero,3.5974821301083217
18 50,3.593855289243169
rotten,3.5933064490304365
crimsonr,3.5905263625539297
lore,3.582937953894811
last lore,3.582937953894811
the last,3.582937953894811
lore keeper,3.582937953894811
keeper,3.582937953894811
jade zaoan,3.56565720465318
energy ice,3.559386142943072
85 00,3.5549990530028595
mercenary,3.5509126889291553
ripper,3.544425109690879
tyrant,3.5423143163328827
goshnar malice,3.540389080153566
cloth 00,3.5385206138388554
fighting axe,3.5345371886507473
piece,3.5330288639525795
citizen,3.529271402447371
marauder,3.527758558053738
melting,3.524901634080056
heart 00,3.5241175652621024
rat,3.522210598730407
rose,3.5160725040646432
prison key,3.506132383110885
shulgrax,3.5006836431431356
00 pirate,3.4982126669540765
medusa,3.494317170688849
surprise,3.4942105647241566
snake,3.487111813791428
bottle,3.486444372242062
picture album,3.4855080082800365
album,3.4855080082800365
lloyd,3.475104568216798
potion,3.472619797100235
zugurosh,3.4619533032667267
banshee,3.4603302727825924
juggernaut,3.458672931464851
tower,3.4526535140180057
plaguesmith,3.450027217774707
tokenr,3.4481760865784055
brown,3.443744402562427
sea serpent,3.441044569964343
deed,3.432655524795368
werehyaena,3.4308193957568687
69,3.430030664045725
69 00,3.430030664045725
arcanist,3.428928984601613
elf arcanist,3.428928984601613
lady tenebris,3.4273770952227522
tenebris,3.4273770952227522
lady,3.4273770952227522
77,3.423623527515587
coin,3.4234847234273
lizardr,3.4200368655853657
the monster,3.419345537950564
hunger,3.4158781601609434
gorzindel,3.4132393681725963
faceless bane,3.408234032624721
faceless,3.408234032624721
cutthroat,3.404571726628322
lokathmor,3.395721768040787
strider,3.3835048282407283
crazed beggar,3.3794960745667906
level earth,3.375033173639602
frost,3.368190416131455
crypt,3.364676102664798
spectral,3.363652014181357
skillboost,3.3598462362226296
angry,3.354143667455503
arrow,3.344221305316152
00 sword,3.340140421718707
herb,3.3382167302593535
sandking,3.336422877172074
the sandking,3.336422877172074
ascension,3.3352706582195553
baron,3.332759942864086
druids fire,3.330650977876481
00 barbarian,3.3246240888527065
level fire,3.324145917538291
fairy,3.320873749222513
cake carpet,3.320277008446035
ravenous hunger,3.312843681116576
ravenous,3.312843681116576
box 20,3.3119050804973655
widow,3.299549947151654
plate,3.294557523600939
leaf,3.2878201082090164
druids sorcerers,3.2832491487316555
pick,3.2665982949901258
of malice,3.260750455647091
plant,3.25846541146791
below,3.2547150397330333
from below,3.2547150397330333
baron from,3.2547150397330333
the baron,3.2547150397330333
destroyer,3.2528685533055004
grimeleech,3.249405768368005
ball,3.248621209127012
warden,3.2388859832842045
lich,3.236421197476244
250 knights,3.234571790107541
00 11,3.2301627307896976
werebear,3.224456644289161
dark faun,3.2225437387830036
desert,3.2181201748605712
frozen horror,3.2104338818994855
melting frozen,3.2104338818994855
mad mage,3.208267652286022
09,3.2062383638290672
75 00,3.206040253788134
zavarash,3.1966510685989062
berserker,3.1902417610512948
adventurer,3.1867825677161488
hellhound,3.1807428062098118
physical firir,3.1745763404194958
folded artefact,3.171697991198428
artefact carpet,3.171697991198428
massive,3.17118690361149
depths,3.168403883146121
the duke,3.168403883146121
the depths,3.168403883146121
duke of,3.168403883146121
43 00,3.1681599570911336
magical,3.1666472143986044
exotic,3.163749444247654
00 club,3.163217149763663
00 annihilon,3.162956319697843
true,3.1609481296939035
vessel of,3.1597522201491444
vessel,3.1597522201491444
sumir usar,3.1597522201491444
00 sumir,3.1597522201491444
strangir,3.159743605490538
130,3.155810836166312
adori,3.1537575227211803
card,3.1508278535956933
angry demon,3.1484195313869945
partyr,3.1482128774010087
wisdom,3.1478652095007917
00 draken,3.1477832046138134
iron,3.1458240223117953
retro,3.141485585627687
00 axe,3.135992934839737
hellspawn,3.13559780599195
mantassin,3.1336323074939645
predator,3.131888900657786
ghulosh,3.130168765972041
41 00,3.1280925702261912
reaper,3.124924177301792
turtle,3.1190748500387495
leather,3.1164086831682747
archer,3.1124642199151475
brooch,3.1073188668538667
warlord,3.100883438434594
quar,3.0986062367804545
58,3.0962182395285787
heavy,3.0945957402022573
110,3.093900959165879
pirate corsair,3.08718779027536
corsair,3.08718779027536
20 criatura,3.0869451790550877
gem 20,3.0869451790550877
cream,3.0856548917609237
64 00,3.08232497219904
bashmu,3.0787867020415116
doll 15,3.078715092311752
high,3.07597849218252
fighting 50,3.0758671058946665
djinn,3.0727407741086004
noble,3.0697921629103275
utilizar,3.0651164055394586
00 fibula,3.063540345229656
cup honour,3.059147595737242
the weakened,3.05661090121395
emerald,3.056134253851769
bomb,3.0536569400883544
megalomania,3.0519835641875344
carregar,3.051482388510987
boogy,3.049247080488584
to,3.049144861151849
full,3.0458809066796877
royal,3.0413566906613343
deathling,3.0369510572872804
ravager,3.035576018575383
vampire bride,3.027957175183518
santa 50,3.0251065352223443
tentugly,3.022750700169199
doll 17,3.0197833719519185
winter,3.0181917437603674
false,3.016326846298281
false god,3.016326846298281
the false,3.016326846298281
shape,3.0142643896282757
shape of,3.0142643896282757
fireworks in,3.0142643896282757
in shape,3.0142643896282757
of 00,3.0142643896282757
gargoyle,3.0066067032401826
tongar,3.004623284138758
figuriner 50,3.0001313937364564
artist,2.9955013157923154
dragon scale,2.9927587695219415
copper,2.9903996515049913
flask,2.9854547119527526
abyssador,2.9853259100059932
cup ascension,2.9802510169815246
master oberon,2.9783269315635046
grand master,2.9783269315635046
oberon,2.9783269315635046
physical ice,2.9779390103291856
triumph,2.9669745349404737
cup triumph,2.9669745349404737
juvenile,2.9663273235130374
cone,2.9646411167669178
adult goanna,2.9635679276617513
adult,2.9635679276617513
gnomevil,2.959819312708379
ekatrix,2.9597976753467132
deathstrike,2.9596972045608663
cruelty,2.9494050085095984
energy earth,2.94856406962507
shielding,2.9483053186531607
34 00,2.9467552720389
fox,2.9467218463562754
hellflayer,2.945485602860891
cup valour,2.9452228355320615
valour,2.9452228355320615
radiance,2.9452228355320615
cup radiance,2.9452228355320615
menacing carnivor,2.9423999525829676
menacing,2.9423999525829676
blightwalker,2.9421599541913572
light,2.941651047226972
statue 10,2.9412107208700147
400 knights,2.939352711779277
maiden the,2.9363973955582696
earth elemental,2.930358259612314
physical earth,2.929720309119067
hatebreeder,2.926024683112767
grave,2.920699222125631
poison,2.9190289397120925
clan,2.9163399967359305
of oblivion,2.9161123343970248
oblivion,2.9161123343970248
gold cup,2.9153202027562384
84,2.910919502127804
earth energy,2.9106640842497784
criar,2.9087381189206067
werebadger,2.9050086817692584
58 00,2.9047531960142856
orger,2.903874149946174
abomination,2.8989569262109574
energy elemental,2.892679753290218
brute,2.8909245752132935
tiber carpet,2.8834414372780786
ice energy,2.8761105662799245
00 magma,2.8741340231299204
thanatursus,2.868342008049076
claws,2.8671598630458104
51 00,2.8627421374933193
grandmaster,2.8624049188812677
13 50,2.860107310039452
note 00,2.858373125234821
mean,2.85582489737152
meat,2.84523251713562
young goanna,2.84475265053867
retching horror,2.843911468544211
retching,2.843911468544211
cliff,2.842749735007953
cliff strider,2.842749735007953
rootkrakenr,2.8373109828048526
the rootkrakenr,2.8373109828048526
trophy pendurar,2.8358417211833253
ogre shaman,2.8280462830793445
urmahlullu the,2.8280272529731536
urmahlullu,2.8280272529731536
time,2.823973610725579
princer,2.823483486764412
devil,2.8094749570578252
the unwelcome,2.8059456775811173
unwelcome,2.8059456775811173
blossom,2.805845188823873
marid,2.803687248178431
phoenix,2.7905923351766266
moohtant,2.7886885112702946
swan,2.7882906983879647
05 reager,2.784113696242808
drume,2.7835859387258974
réplico 00,2.78132718384385
rainbow,2.7803786808392523
necromancer,2.774150565024382
trap,2.771769754858664
piece of,2.7710544550305074
120 knights,2.770055080893372
oil,2.7688608845383356
fighting 48,2.763687669228381
anomaly,2.762440168491118
field,2.7590986889170055
megasylvan,2.7567490941380135
buccaneer,2.754571305571089
pirate buccaneer,2.754571305571089
outburst,2.7541233784648718
muglex,2.7463188352636676
muglex clan,2.7463188352636676
rage,2.7438098995734586
rage squid,2.7438098995734586
speed 10,2.7415024250449234
slayer,2.7414205965270297
15 50,2.739090171123281
carregar líquido,2.7382454029529097
26 00,2.7368893888451127
doll 18,2.7359394066742877
roxa,2.7301490964829194
luz roxa,2.7301490964829194
horned,2.7300693457124514
box 00,2.728524320514521
cultist,2.725720174022793
the time,2.7233375669572317
time guardian,2.7233375669572317
scorpion,2.7199658278022323
gozzler,2.713605808668967
metal,2.713197889168886
druids energy,2.712052325560568
00 42,2.7078722343718633
physical energy,2.70550208158097
powder 00,2.703785809977184
